Label100,Label106,Label107,Label108,Label109,Label11,Label110,Label111,Label112,Label12,Label13,Label14,Label15,Label17,Label18,Label19,Label2,Label20,Label22,Label23,Label27,Label3,Label37,Label4,Label42,Label43,Label49,Label5,Label50,Label51,Label52,Label53,Label55,Label57,Label58,Label59,Label6,Label62,Label63,Label64,Label65,Label67,Label68,Label69,Label70,Label71,Label72,Label73,Label74,Label75,Label76,Label77,Label78,Label79,Label80,Label81,Label86,Label87,Label89,Label9,Label92,Label93,Label94,Label95,Label96,Label97,Label98,Label99,Language
*vs 전날,개요,긴급 요청,긴급 요청 상태,노출 접촉자 세부 사항,vs 어제,총 자가 보고,긴급 대응 개요,방문 세부 사항,이번 주,vs 지난 주,요청 상태,노출 접촉 상태,긴급 요청 개요,총 요청,유형별 요청,환자,총 환자,총 노출 접촉,환자 세부 사항,검사 상태,자가 보고 개인,자가 보고 개인 세부 사항,노출 접촉,인테이크 세부 사항,긴급 요청 세부 사항,공중 보건 분석,요청,인테이크,상태별 환자,검사 상태,자택 모니터링,시간에 따른 환자 수,평균 일,최소 일,최대 일,시/도 및 구/군/시별,세부 사항,인구,시/도별 환자,구/군/시별 환자,연령별 환자,성별 환자,무증상 환자,증상 환자,검사 양성,접촉자 추적됨,총 인테이크,환자로 등록,인테이크 소스 플로 - 현재 상태,시간에 따른 인테이크,일 - 새로운 상태,환자별 노출 접촉,시/도별 인테이크,구/군/시별 인테이크,/총 인테이크,자세히 표시,간단히 표시,방문자 및 방문 추세,오늘,총 방문 추세,상태별 방문,시/도별 방문,구/군/시별 방문,방문,총 방문,완료 방문,총 방문자,ko
*ift i går,Oversikt,Nødforespørsler,Status for nødforespørsel,Detaljer om eksponert kontakt,ift i går,Totalt med egenmelding,Oversikt over krisehåndtering,Besøksdetaljer,Denne uken,ift forrige uke,Status for forespørsel,Status for eksponerte kontakter,Oversikt over nødforespørsler,Totalt antall forespørsler,Forespørsler per type,Pasienter,Totalt antall pasienter,Totalt antall eksponerte kontakter,Pasientdetaljer,Teststatus,Egenmeldte personer,Detaljer om personer med egenmelding,Eksponerte kontakter,Innleggelsesdetaljer,Detaljer om nødforespørsel,Public Health Analytics,Forespørsler,Innleggelse,Pasienter fordelt på tilstand,Teststatus,Overvåkes hjemme,Pasienttall over tid,Dager i snitt,Høyeste antall dager,Laveste antall dager,Per delstat og poststed,Detaljer,Demografi,Pasienter fordelt på delstat,Pasienter fordelt på poststed,Pasienter fordelt på alder,Pasienter fordelt på kjønn,Pasienter uten symptomer,Pasienter med symptomer,Testet positivt,Kontakter som er sporet,Totalt antall innleggelser,Registrert som pasient,Flyt fra innleggelseskilde til nåværende status,Innleggelser over tid,Dager med ny status,Eksponerte kontakter per pasient,Innleggelser fordelt på delstat,Innleggelser fordelt på poststed,av totalt antall innleggelser,Vis mer,Vis mindre,Besøker- og besøkstrender,I dag,Trend for totalt antall besøk,Besøk fordelt på status,Besøk fordelt på delstat,Besøk fordelt på poststed,Besøk,Totalt antall besøk,Fullførte besøk,Totalt antall besøkende,no
*comparado a ontem,Visão geral,Solicitações de emergência,Status da solicitação de emergência,Detalhes do contato exposto,vs. ontem,Total de autodeclarados,Visão geral de resposta,Detalhes da visita,Esta semana,vs. semana anterior,Status da solicitação,Status de contatos expostos,Visão geral das solicitações de emergência,Total de solicitações,Solicitações por tipo,Pacientes,Total de pacientes,Total de contatos expostos,Dados do paciente,Status do teste,Indivíduos autorrelatados,Dados do indivíduo autodeclarado,Contatos expostos,Detalhes da internação,Detalhes da solicitação de emergência,Análise de saúde pública,Solicitações,Internação,Pacientes por doença,Status de teste,Monitorado em casa,Contagem de pacientes ao longo do tempo,Média de dias,Mínimo de dias,Máximo de días,Por Estado e cidade,Detalhes,Dados demográficos,Pacientes por estado,Pacientes por cidade,Pacientes por idade,Pacientes por gênero,Pacientes assintomáticos,Pacientes sintomáticos,Com teste positivo,Contatos rastreados,Total de internações,Inscrito como paciente,Fluxo de origem da internação ao status atual,Internação ao longo do tempo,Dias no novo status,Contatos expostos por paciente,Internação por Estado,Internação por cidade,do total de internações,Mostrar mais,Mostrar menos,Tendências de visitas e visitantes,Hoje,Tendência do total de visitas,Visitas por status,Visitas por Estado,Visitas por cidade,Visitas,Total de visitas,Visitas concluídas,Total de visitantes,pt_BR
*против вчера,Общие сведения,Запросы на экстренную помощь,Статус запроса на экстренную помощь,Сведения о выявленном контакте,против вчера,Итого самостоятельно обратившихся,Общие сведения об экстренном реагировании,Сведения о посещении,Текущая неделя,против прошлой недели,Статус запроса,Статус выявленных контактов,Общие сведения о запросах на экстренную помощь,Итого запросов,Запросы по типу,Пациенты,Итого пациентов,Итого выявленных контактов,Сведения о пациенте,Статус тестирования,Самостоятельно обратившиеся лица,Сведения о самостоятельно обратившемся лице,Выявленные контакты,Сведения о получении,Сведения о запросе на экстренную помощь,Public Health Analytics,Запросы,Получение,Пациенты по состоянию,Статус тестирования,Наблюдается дома,Количество пациентов со временем,Среднее количество дней,Минимальное количество дней,Максимальное количество дней,По области и городу,Сведения,Демографические данные,Пациенты по области,Пациенты по городу,Пациенты по возрасту,Пациенты по полу,Пациенты без симптомов,Пациенты с симптомами,Положительный результат,Установленные контакты,Итого получений,Зарегистрирован как пациент,Переход от источника получения к текущему статусу,Получение со временем,Количество дней в новом статусе,Выявленные контакты по пациенту,Получение по области,Получение по городу,от общего количества получений,Показать больше,Показать меньше,Тренды посетителей и посещений,Сегодня,Тренд общего количества посещений,Посещения по статусу,Посещения по области,Посещения по городу,Посещения,Итого посещений,Завершенные посещения,Итого посетителей,ru
*frente a ayer,Visión general,Solicitudes de emergencia,Estado de solicitud de emergencia,Detalles de contacto expuesto,frente a ayer,Total de autodeclarados,Visión general de respuesta ante las emergencias,Detalles de visita,Esta semana,frente a semana pasada,Estado de solicitud,Estado de contactos expuestos,Visión general de solicitudes de emergencia,Total de solicitudes,Solicitudes por tipo,Pacientes,Total de pacientes,Total de contactos expuestos,Detalles de paciente,Estado de prueba,Individuos autodeclarados,Detalles de individuos autodeclarados,Contactos expuestos,Detalles de admisión,Detalles de solicitud de emergencia,Análisis de salud pública,Solicitudes,Admisión,Pacientes por dolencia,Estado de prueba,Monitoreado en domicilio,Conteo de pacientes con el tiempo,Media de días,Mínimo de días,Máximo de días,Por estado/provincia y ciudad,Detalles,Datos demográficos,Pacientes por estado,Pacientes por ciudad,Pacientes por edad,Pacientes por género,Pacientes asintomáticos,Pacientes con síntomas,Con test positivo,Contactos rastreados,Total de admisiones,Inscrito como paciente,Flujo de origen de admisión a estado actual,Admisiones a lo largo del tiempo,Días en nuevo estado,Contactos expuestos por paciente,Admisión por estado,Admisión por ciudad,de total de admisiones,Mostrar más,Mostrar menos,Tendencias de visitantes y visitas,Hoy,Tendencia de total de visitas,Visitas por estado,Visitas por estado/provincia,Visitas por ciudad,Visitas,Total de visitas,Visitas completadas,Total de visitantes,es_MX
*frente a ayer,Visión general,Solicitudes de emergencia,Estado de solicitud de emergencia,Detalles de contacto expuesto,frente a ayer,Total de autodeclarados,Visión general de respuesta ante las emergencias,Detalles de visita,Esta semana,frente a semana pasada,Estado de solicitud,Estado de contactos expuestos,Visión general de solicitudes de emergencia,Total de solicitudes,Solicitudes por tipo,Pacientes,Total de pacientes,Total de contactos expuestos,Detalles de paciente,Estado de prueba,Individuos autodeclarados,Detalles de individuos autodeclarados,Contactos expuestos,Detalles de admisión,Detalles de solicitud de emergencia,Análisis de salud pública,Solicitudes,Admisión,Pacientes por dolencia,Estado de prueba,Supervisado en domicilio,Recuento de pacientes con el tiempo,Media de días,Mínimo de días,Máximo de días,Por estado/provincia y ciudad,Detalles,Datos demográficos,Pacientes por provincia,Pacientes por ciudad,Pacientes por edad,Pacientes por género,Pacientes asintomáticos,Pacientes con síntomas,Con test positivo,Contactos rastreados,Total de admisiones,Inscrito como paciente,Flujo de origen de admisión a estado actual,Admisiones a lo largo del tiempo,Días en nuevo estado,Contactos expuestos por paciente,Admisión por provincia,Admisión por ciudad,de total de admisiones,Mostrar más,Mostrar menos,Tendencias de visitantes y visitas,Hoy,Tendencia de total de visitas,Visitas por estado,Visitas por provincia,Visitas por ciudad,Visitas,Total de visitas,Visitas completadas,Total de visitantes,es
*jämfört med gårdagen,Översikt,Nödbegäranden,Status för nödbegäran,Detaljer om exponerad kontakt,jämfört med igår,Totalt antal självrapporterade,Översikt av nödrespons,Besöksdetaljer,Den här veckan,jämfört med föregående vecka,Status för begäran,Status för exponerade kontakter,Översikt av nödbegäranden,Totalt antal begäranden,Begäranden efter typ,Patienter,Totalt antal patienter,Totalt antal exponerade kontakter,Patientdetaljer,Teststatus,Självrapporterade individer,Detaljer om självrapporterad individ,Exponerade kontakter,Intagningsdetaljer,Detaljer om nödbegäran,Public Health Analytics,Förfrågningar,Intagning,Patienter efter tillstånd,Teststatus,Bevakas hemma,Antal patienter över tid,Genomsnittligt antal dagar,Minsta antal dagar,Högsta antal dagar,Efter område och stad,Detaljer,Demografi,Patienter efter region,Patienter efter ort,Patienter efter ålder,Patienter efter kön,Asymptomatiska patienter,Symptomatiska patienter,Testat positivt,Kontakter spårade,Totalt intag,Registrerad som patient,Flöde för intagskälla till aktuell status,Intag över tid,Dagar med ny status,Exponerade kontakter efter patient,Intag efter region,Intag efter ort,av totalt intag,Visa mer,Visa mindre,Besökare och besökstrender,Idag,Total besökstrend,Besök efter status,Besök efter region,Besök efter ort,Besök,Totalt antal besök,Genomförda besök,Totalt antal besökare,sv
*VS เมื่อวานนี้,ภาพรวม,คำขอฉุกเฉิน,สถานะคำขอฉุกเฉิน,รายละเอียดผู้ติดต่อที่เปิดเผยตัว,เมื่อเทียบกับเมื่อวานนี้,ผู้ที่รายงานตนเองทั้งหมด,ภาพรวมการตอบสนองฉุกเฉิน,รายละเอียดการเข้าตรวจ,สัปดาห์นี้,เมื่อเทียบกับสัปดาห์ที่แล้ว,สถานะการร้องขอ,สถานะของผู้ติดต่อที่เปิดเผยตัว,ภาพรวมคำขอฉุกเฉิน,คำขอทั้งหมด,คำขอตามประเภท,ผู้ป่วย,ผู้ป่วยรวม,ผู้ติดต่อที่เปิดเผยตัวทั้งหมด,รายละเอียดผู้ป่วย,สถานะการทดสอบ,ผู้ที่รายงานตนเอง,รายละเอียดผู้ที่รายงานตนเอง,ผู้ติดต่อที่เปิดเผยตัว,รายละเอียดการรับผู้ป่วย,รายละเอียดคำขอฉุกเฉิน,การวิเคราะห์ทางสาธารณสุข,ร้องขอ,การรับผู้ป่วย,ผู้ป่วยตามเงื่อนไข,สถานะการทดสอบ,สังเกตอาการที่บ้าน,จำนวนผู้ป่วยเมื่อเวลาผ่านไป,จำนวนวันเฉลี่ย,จำนวนวันต่ำสุด,จำนวนวันสูงสุด,ตามรัฐและเมือง,รายละเอียด,สถิติประชากร,ผู้ป่วยตามรัฐ,ผู้ป่วยตามเมือง,ผู้ป่วยตามอายุ,ผู้ป่วยตามเพศ,ผู้ป่วยที่ไร้อาการโรค,ผู้ป่วยที่มีอาการโรค,ผู้ที่ผลทดสอบเป็นบวก,ติดตามผู้ติดต่อแล้ว,การรับผู้ป่วยทั้งหมด,ลงทะเบียนในฐานะผู้ป่วย,กระแสของที่มาของการรับผู้ป่วยในสถานะปัจจุบัน,การรับผู้ป่วยเมื่อเวลาผ่านไป,จำนวนวันในสถานะใหม่,ผู้ติดต่อที่เปิดเผยตัวตามผู้ป่วย,การรับผู้ป่วยตามรัฐ,การรับผู้ป่วยตามเมือง,ของการรับผู้ป่วยทั้งหมด,แสดงอีก,แสดงน้อยลง,ผู้เข้าตรวจและแนวโน้มการเข้าตรวจ,วันนี้,แนวโน้มการเข้าตรวจรวม,การเข้าตรวจตามสถานะ,การเข้าตรวจตามรัฐ,การเข้าตรวจตามเมือง,การเข้าตรวจ,การเข้าตรวจรวม,การเข้าตรวจที่เสร็จสมบูรณ์,ผู้เข้าตรวจทั้งหมด,th
*مقارنة بالأمس,نظرة عامة,طلبات الطوارئ,حالة طلب الطوارئ,تفاصيل المخالط المعرض للإصابة,في مقابل الأمس,إجمالي الذين أبلغوا عن أنفسهم,نظرة عامة عن الاستجابة لحالات الطوارئ,تفاصيل الزيارة,هذا الأسبوع,في مقابل الأسبوع الماضي,حالة الطلب,حالة جهات الاتصال المعروضة,نظرة عامة على طلبات الطوارئ,إجمالي الطلبات,الطلبات حسب النوع,المرضى,إجمالي المرضى,إجمالي المخالطين المعرضين للإصابة,تفاصيل المريض,حالة الفحص,الأفراد الذي أبلغوا عن أنفسهم,تفاصيل الأفراد المبلغين عن أنفسهم,جهات الاتصال المعروضة,تفاصيل الجرعة,تفاصيل طلب الطوارئ,تحليلات الصحة العامة,طلبات,الجرعة,المرضى حسب الحالة المرضية,حالة الفحص,موضوع تحت الملاحظة بالمنزل,عدد المرضى بمرور الوقت,متوسط عدد الأيام,الحد الأدنى لعدد الأيام,الحد الأقصى لعدد الأيام,حسب الولاية والمدينة,التفاصيل,الخصائص السكانية,المرضى حسب الولاية,المرضى حسب المدينة,المرضى حسب الفئة العمرية,المرضى حسب الجنس,المرضى الخاليين من الأعراض,المرضى ذوو الأعرض,نتيجة الاختبار إيجابية,تتبع المخالطين,إجمالي الجرعات,مسجل كمريض,تدفق مصدر الجرعة للحالة الحالية,الجرعة بمرور الوقت,الأيام بالحالة الجديدة,المخالطون المعرضون للإصابة حسب المريض,الجرعة حسب الولاية,الجرعة حسب المدينة,من إجمالي الجرعة,إظهار المزيد,إظهار تفاصيل أقل,الزائر واتجاهات الزيارة,اليوم,إجمالي اتجاهات الزيارات,الزيارات حسب الحالة,الزيارات حسب الولاية,الزيارات حسب المدينة,الزيارات,إجمالي الزيارات,الزيارات المكتملة,إجمالي عدد الزوار,ar
*спрямо вчера,Общ преглед,Спешни заявки,Състояние на спешна заявка,Данни на изложен контакт,спрямо вчера,Общо лица със самостоятелно докладване,Общ преглед на реагиране на спешен случай,Данни за посещение,Тази седмица,спрямо предишната седмица,Състояние на заявката,Състояние „Влезли в контакт лица“,Преглед на спешните заявки,Общо заявки,Заявки по тип,Пациенти,Общо пациенти,Общо изложени контакти,Данни за пациента,Състояние на тестване,Лица със самостоятелно докладване,Данни на лице със самостоятелно докладване,Влезли в контакт лица,Данни за прием,Данни за спешна заявка,Анализ на общественото здраве,Заявки,Прием,Пациенти по състояние,Състояние на тестване,Под наблюдение у дома,Брой на пациентите във времето,Среден брой дни,Минимален брой дни,Максимален брой дни,По щат и град,Данни,Демографски данни,Пациенти по област,Пациенти по град,Пациенти по възраст,Пациенти по пол,Асимптоматични пациенти,Симптоматични пациенти,С положителен тест,Проследени контакти,Общ прием,Записан като пациент,Поток на източника на прием към текущото състояние,Прием с течение на времето,Дни в ново състояние,Изложени контакти по пациент,Прием по област,Прием по град,от общия прием,Показване на повече,Показване на по-малко,Тенденции за посетители и посещения,Днес,Обща тенденция за посещения,Посещения по състояние,Посещения по област,Посещения по град,Посещения,Общо посещения,Завършени посещения,Общо посетители,bg
*vs včera,Přehled,Nouzové požadavky,Stav nouzových požadavků,Podrobnosti o exponovaných kontaktech,vs včera,Celkem samostatně hlášených,Přehled nouzových odpovědí,Podrobnosti o návštěvě,Tento týden,vs poslední týden,Stav žádosti,Stav vystavených kontaktů,Přehled nouzových žádostí,Celkový počet žádostí,Žádosti podle typu,Pacienti,Celkový počet pacientů,Cekový počet vystavených kontaktů,Detaily pacienta,Stav testování,"Osoby, které se nahlásily samy","Detaily osoby, která se nahlásila sama",Vystavené kontakty,Detaily příjmu,Detaily nouzové žádosti,Analýza veřejného zdraví,Žádosti,Příjem,Pacienti podle stavu,Stav testování,Monitorován/a doma,Počet pacientů v průběhu času,Průměrný počet dnů,Minimální počet dnů,Maximální počet dnů,Podle státu a města,Detaily,Demografické údaje,Pacienti podle státu,Pacienti podle města,Pacienti podle věku,Pacienti podle pohlaví,Pacienti bez symptomů,Pacienti se symptomy,Testovaní pozitivně,Sledované kontakty,Celkový příjem,Zařazen/a jako pacient,Tok zdroje příjmu po aktuální stav,Příjem v průběhu času,Dny v novém stavu,Vystavené kontakty podle pacienta,Příjem podle stavu,Příjem podle města,z celkového příjmu,Zobrazit víc,Zobrazit méně,Návštěvník a trendy návštěv,Dnes,Trend celkových návštěv,Návštěvy podle stavu,Návštěvy podle státu,Návštěvy podle města,Návštěvy,Návštěvy celkem,Dokončené návštěvy,Návštěvníci celkem,cs
*σε σχέση με χθες,Επισκόπηση,Αιτήματα έκτακτης ανάγκης,Κατάσταση αιτήματος έκτακτης ανάγκης,Λεπτομέρειες εκτεθειμένης επαφής,έναντι της χθεσινής ημέρας,Σύνολο ίδιων αναφορών,Επισκόπηση αποκρίσεων έκτακτης ανάγκης,Λεπτομέρειες επίσκεψης,Αυτή η εβδομάδα,έναντι της προηγούμενης εβδομάδας,Κατάσταση αιτήματος,Κατάσταση εκτεθειμένων επαφών,Επισκόπηση αιτήσεων έκτακτης ανάγκης,Σύνολο αιτήσεων,Αιτήσεις κατά τύπο,Ασθενείς,Σύνολο ασθενών,Σύνολο εκτεθειμένων επαφών,Λεπτομέρειες ασθενούς,Κατάσταση ελέγχου,Άτομα ίδιας αναφοράς,Λεπτομέρειες ατόμου ίδιας αναφοράς,Εκτεθειμένες επαφές,Λεπτομέρειες εισαγωγής,Λεπτομέρειες αίτησης έκτακτης ανάγκης,Αναλύσεις δημόσιας υγείας,Αιτήσεις,Εισαγωγή,Ασθενείς κατά σύμπτωμα,Κατάσταση ελέγχου,Παρακολούθηση στο σπίτι,Πλήθος ασθενών σε συνάρτηση με τον χρόνο,Μέσος όρος ημερών,Ελάχιστες ημέρες,Μέγιστες ημέρες,Κατά νομό και πόλη,Λεπτομέρειες,Δημογραφικά στοιχεία,Ασθενείς κατά νομό,Ασθενείς κατά πόλη,Ασθενείς κατά ηλικία,Ασθενείς κατά φύλο,Ασυμπτωματικοί ασθενείς,Ασθενείς με συμπτώματα,Θετικό αποτέλεσμα τεστ,Επαφές που ανιχνεύτηκαν,Σύνολο εισαγωγών,Έχει εγγραφεί ως ασθενής,Ροή προέλευσης εισαγωγών στην τρέχουσα κατάσταση,Εισαγωγές ως προς τον χρόνο,Ημέρες σε νέα κατάσταση,Εκτεθειμένες επαφές ανά ασθενή,Εισαγωγή κατά νομό,Εισαγωγή κατά πόλη,των συνολικών εισαγωγών,Εμφάνιση περισσότερων,Εμφάνιση λιγότερων,Τάσεις επισκεπτών και επισκέψεων,Σήμερα,Τάση συνόλου επισκέψεων,Επισκέψεις κατά κατάσταση,Επισκέψεις κατά πόλη,Επισκέψεις κατά πόλη,Επισκέψεις,Σύνολο επισκέψεων,Ολοκληρωμένες επισκέψεις,Σύνολο επισκεπτών,el
*לעומת אתמול,סקירה,בקשות חירום,סטטוס בקשת חירום,פרטי אנשי קשר חשופים,לעומת אתמול,"סה""""כ אנשים בדיווח עצמי",סקירת תגובות חירום,פרטי ביקור,השבוע,לעומת השבוע שעבר,סטטוס בקשה,סטטוס אנשי קשר חשופים,סקירת בקשות חירום,"סה""""כ בקשות",בקשות לפי סוג,מטופלים,"סה""""כ מטופלים","סה""""כ אנשי קשר חשופים",פרטי המטופל,סטטוס בדיקה,אנשים בדיווח עצמי,פרטי אדם בדיווח עצמי,אנשי קשר חשופים,פרטי קליטה,פרטי בקשת חירום,ניתוח בריאות הציבור,בקשות,קליטה,מטופלים לפי מצב,סטטוס בדיקה,מנוטר בבית,ספירת מטופלים לאורך זמן,ימים בממוצע,ימים לכל הפחות,ימים לכל היותר,לפי מדינה ועיר,פרטים,נתונים דמוגרפיים,מטופלים לפי מדינה,מטופלים לפי עיר,מטופלים לפי גיל,מטופלים לפי מין,מטופלים ללא תסמינים,מטופלים עם תסמינים,בדיקה חיובית,אנשי קשר במעקב,קליטה כוללת,נרשם כמטופל,זרימת מקור קליטה למצב נוכחי,קליטה לאורך זמן,ימים במצב החדש,אנשי קשר חשופים לפי מטופל,קליטה לפי מדינה,קליטה לפי עיר,מתוך הקליטה הכוללת,הצג עוד,הצג פחות,מבקרים ומגמות ביקור,היום,"מגמת סה""""כ ביקורים",ביקורים לפי מצב,ביקורים לפי מדינה,ביקורים לפי עיר,ביקורים,"סה""""כ ביקורים",ביקורים שהושלמו,"סה""""כ מבקרים",iw
*tegnappal összevetve,Áttekintés,Vészhelyzeti kérések,Vészhelyzeti kérések állapota,Kitett kontakt adatai,Tegnappal összevetve,Önjelentett összesen,Vészhelyzeti válaszok áttekintése,Látogatási adatok,Ezen a héten,Múlt héttel összevetve,Kérelem állapota,Kitett kapcsolattartók állapota,Vészhelyzeti kérelmek áttekintése,Kérelmek összesen,Kérelmek típus szerint,Betegek,Betegek összesen,Kitett kapcsolattartók összesen,Betegadatok,Tesztelési állapot,Önjelentett egyének,Önjelentett egyén adatai,Kitett kapcsolattartók,Beviteli adatok,Vészhelyzeti kérelmi adatok,Nyilvános egészségügyi elemzési adatok,Kérelmek,Bevitel,Betegek állapot szerint,Tesztelési állapot,Otthoni megfigyelés alatt,Betegek száma az idők folyamán,Napok átlagosan,Napok száma minimum,Napok száma maximum,Állam és város szerint,Részletek,Demográfiai adatok,Betegek állam szerint,Betegek város szerint,Betegek életkor szerint,Betegek nem szerint,Tünetmentes betegek,Tüneteket mutató betegek,Pozitív teszt,Lekövetett kapcsolattartók,Teljes bevitel,Beléptetve betegként,Beviteli forrás áramlása az aktuális állapotig,Bevitel az idők folyamán,Napok száma az új állapotban,Beteg által kitett kapcsolattartók,Bevitel állam szerint,Bevitel város szerint,/ teljes bevitel,Részletek megjelenítése,Részletek elrejtése,Látogatói és látogatási trendek,Ma,Látogatások teljes számának trendje,Látogatások állapot szerint,Látogatások állam szerint,Látogatások város szerint,Látogatások,Látogatások összesen,Befejezett látogatások,Látogatók összesen,hu
*vs Kemarin,Tinjauan,Permintaan Darurat,Status Permintaan Darurat,Detail Kontak yang Terpapar,vs Kemarin,Total yang Melaporkan Diri,Tinjauan Tanggap Darurat,Detail Kunjungan,Minggu Ini,vs Minggu Lalu,Status Permintaan,Status Kontak Terpapar,Tinjauan Permintaan Darurat,Total Permintaan,Permintaan Berdasarkan Jenis,Pasien,Total Pasien,Total Kontak Terpapar,Detail Pasien,Status Pengujian,Individu yang Dilaporkan Secara Mandiri,Detail Individu yang Melaporkan Diri,Kontak yang Terpapar,Detail Masukan,Detail Permintaan Darurat,Analisis Kesehatan Umum,Permintaan,Masukan,Pasien Berdasarkan Kondisi,Status Pengujian,Dipantau di Rumah,Jumlah Pasien dari Waktu ke Waktu,Jumlah Hari Rata-rata,Jumlah Hari Minimum,Jumlah Hari Maksimum,Berdasarkan Negara Bagian dan Kota,Detail,Demografik,Pasien Berdasarkan Provinsi,Pasien Berdasarkan Kota,Pasien Berdasarkan Usia,Pasien Berdasarkan Jenis Kelamin,Pasien Tanpa Gejala,Pasien Bergejala,Hasil Tes Positif,Kontak Telah Dilacak,Total Masukan,Mendaftar Sebagai Pasien,Alur Sumber Masukan ke Status Saat Ini,Masukan Dari Waktu ke Waktu,Jumlah Hari Dalam Kondisi yang Baru,Kontak yang Terpapar Pasien,Masukan Berdasarkan Kondisi,Masukan Berdasarkan Kota,Dari Total Masukan,Tampilkan Lebih Banyak,Tampilkan Lebih Sedikit,Kecenderungan Pengunjung dan Kunjungan,Hari Ini,Total Kecenderungan Kunjungan,Kunjungan Berdasarkan Status,Kunjungan Berdasarkan Provinsi,Kunjungan Berdasarkan Kota,Kunjungan,Total Kunjungan,Kunjungan yang Sudah Selesai,Total Pengunjung,in
*porównując z wczoraj,Przegląd,Wnioski pomocowe,Status wniosków pomocowych,Dane osób z ryzykiem kontaktu,porównując z poprzednim dniem,Łączna liczba zgłaszających się samodzielnie,Przegląd realizacji wniosków pomocowych,Pokaż szczegóły,Ten tydzień,porównując z poprzednim tygodniem,Status wniosku,Status osób z ryzykiem kontaktu,Przegląd wniosków pomocowych,Łączna liczba wniosków,Wnioski wg typu,Pacjenci,Łączna liczba pacjentów,Łączna liczba osób z ryzykiem kontaktu,Dane pacjenta,Status testowania,Osoby zgłaszające się samodzielnie,Dane osoby zgłaszającej się samodzielnie,Osoby z ryzykiem kontaktu,Szczegóły przyjęcia,Szczegóły wniosku pomocowego,Analityka publicznej opieki zdrowotnej,Wnioski,Przyjęcie,Pacjenci wg stanu zdrowia,Status testowania,Monitorowanie domowe,Liczba pacjentów w okresie czasu,Średnia liczba dni,Minimalna liczba dni,Maksymalna liczba dni,Wg miasta i województwa,Dane,Demografia,Pacjenci wg województwa,Pacjenci wg miasta,Pacjenci wg wieku,Pacjenci wg płci,Pacjenci bezobjawowi,Pacjenci z objawami,Z dodatnim wynikiem testu,Odnalezione osoby z ryzykiem kontaktu,Łączna liczba przyjęć,Zarejestrowani jako pacjenci,Przepływ od źródła przyjęcia do stanu bieżącego,Przyjęcia w okresie czasu,Liczba dni nowego statusu,Osoby z ryzykiem kontaktu wg pacjenta,Przyjęcia wg województwa,Przyjęcia wg miasta,z łącznej liczba przyjęć,Pokaż więcej,Pokaż mniej,Trend obejmujący odwiedzających i wizyty,Dzisiaj,Trend obejmujący liczbę wizyt,Wizyty wg statusu,Wizyty wg województwa,Wizyty wg miasta,Wizyty,Łączna liczba wizyt,Ukończone wizyty,Łączna liczba odwiedzających,pl
vs Ontem,Visão geral,Pedidos de emergência,Estado do pedido de emergência,Detalhes do contacto exposto,vs Ontem,Total de autodeclarados,Visão geral de respostas de emergência,Detalhes da visita,Esta semana,vs Semana passada,Estado do pedido,Estado dos contactos expostos,Visão geral dos pedidos de emergência,Total de pedidos,Pedidos por tipo,Pacientes,Total de pacientes,Total de contactos expostos,Detalhes do paciente,Estado de teste,Indivíduos autodeclarados,Detalhes de indivíduos autodeclarados,Contactos expostos,Detalhes de admissão,Detalhes de pedido de emergência,Análise de saúde pública,Pedidos,Admissão,Pacientes por doença,Estado de teste,Monitorizado em casa,Contagem de pacientes ao longo do tempo,Média de dias,Número mínimo de dias,Número máximo de dias,Por estado e cidade,Detalhes,Dados demográficos,Pacientes por estado,Pacientes por cidade,Pacientes por idade,Pacientes por sexo,Pacientes assintomáticos,Pacientes com sintomas,Com teste positivo,Contactos rastreados,Total de admissões,Inscrito como paciente,Fluxo de origem de admissão a estado atual,Admissões ao longo do tempo,Dias no novo estado,Contactos expostos por paciente,Admissão por estado,Admissão por cidade,de total de admissões,Mostrar mais,Mostrar menos,Tendências de visitas e visitantes,Hoje,Tendência de total de visitas,Visitas por estado,Visitas por distrito,Visitas por cidade,Visitas,Total de visitas,Visitas concluídas,Total de visitantes,pt_PT
